Nombre,Ciudad,Latitud,Longitud
Terminal Terrestre De Ibarra,Imbabura,0.3446489,-78.1283481
Terminal Terrestre De Quito,Quitumbre/sector Sur,-0.2024199,-78.6549361
Terminal Terrestre De Quito,CarcelÃ©n / Sector Norte,-0.1000571,-78.4724719
Terminal Terrestre De Guayaquil,Guayaquil,-2.1431266,-79.8816376
Terminal Terrestre De TulcÃ¡n,Carchi,0.8141893,-77.7236689
Terminal Terrestre De Quevedo,Los Rios,-1.017997,-79.4738131
Terminal Terrestre De Riobamba,Chimborazo,-1.6626101,-78.6655433
Terminal Terrestre De Tena,Napo,-0.9991133,-77.8146585
Terminal Terrestre De Macas,Morona Santiago,-2.305287,-78.1227347
Terminal Terrestre Machala,Machala,-3.2816519,-79.9188263
Terminal Terrestre Reina Del Cisne,Loja,-3.9776284,-79.2070752
Terminal Terrestre Cuenca,Cuenca,-2.8918908,-78.994581
Terminal Terrestre Zamora,Zamora,-4.0674939,-78.954945
Terminal Terrestre Latacunga,Latacunga,-0.8717535,-77.8131405
Terminal Terrestre De Ambato,Ambato,-1.2361134,-78.6186811
Terminal Terrestre De Manta,Manta,-0.9606632,-80.692665
Terminal Terrestre De Santo Domingo,Santo Domingo,-0.2549306,-79.1635315
Terminal Terrestre De Nueva Loja,Nueva Loja,0.0916948,-76.8884608
Terminal Terrestre De Azogues,Azogues,-2.7277288,-78.8431156
Terminal Terrestre De Babahoyo,Babahoyo,-1.8117528,-79.5462591
Terminal Terrestre De Macas,Macas,-2.305287,-78.1227347
Terminal Terrestre De Esmeraldas,Esmeraldas,0.9350944,-79.6710919
